#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
excellent,,極優秀,IwCADvRQ0QwlUXSyuiEh
project,,專案,J2ewcYBYiW6PmBnkJDpu
intern,,實習生,J6OaZEZF35miDxofv4W2
remarkable,,非凡的,J8Qg0j0myVzrFFjfrmdQ
suitable,,合適,J9p0I8Wz3OkGy0mDlIqt
effective,,有效的,JF49USEpRCP2XRuHu4ki
hold,,持,JGtCX8cs4weCaWVZz36b
cancellation,,取消,JJmYAOglUiO6MmgqQOlk
emergency,,緊急狀況,JLqzSMa31vwPc6VeYUDy
current,,當前,JVSnFyun0uzzfEX1Fzkx
properly,,適當地,JZIQ5qjWMPpe1ZDnJGir
candidacy,,候選資格,JcOWwMW8aOEvWFT5M4kO
economize,,節約,JcRhDo65XkAfbLh5Iwc2
popularity,,受歡迎程度,Ji6WU2GmXCxV0ZT3ncwb
scrutinize,,細察,JlBeo4MzSkTihYidCdX9
expectation,,期待,Jn9dNzK25ir1Vy6mVh69
amend,,修正,JtrH9EUWOt7A1HP9xBKZ
secluded,,隱蔽的,JwrYefGjvbZhhq8l19H9
airline,,航空公司,Jy2zeCyPD4Gij3FPBPC3
satisfactory,,令人滿意的,Jzd4Q2E67p4nZtxBYveh
degree,,度,K0e8iyiKkrwDuvJIrkQ0
accident,,事故,K1BhS5LroqO2XDjOsGNV
assets,,資產,K9d9FxPSCmbFFeFMLxde
ensure,,確保,KF6WM7YOX16bIVW9mjIg
rational,,理性的,KMZFQHRiZcX5BZ45rr6e
private,,私人,KNLUvqoNWfQMW1O9P7pQ
agricultural,,農業的,KNjwTwRrYz4sXeNXwVUJ
aid,,援助,KOSWsxYPT4dZGaVqTZzQ
advice,,建議,KQzpL2CDphmKI9Pl5oS6
local,,當地,KTIyF4L7kHyPXxBBy5TA
accordingly,,因此,KXWGtZgqS8djIyvTAEIE
patent,,專利,KZCvtcsRmfuKRO2WW2Pm
coach,,教練,KbBm2bioVzzJkL3Pz3HH
obligation,,義務,KfJEAJ1kxjfh52f6Qdo1
promote,,推廣,Kk4M7U7yTPgd7HiEi0g8
convenient,,方便,KkMPCs378EnVoqoRkWr0
available,,可用的,KkgJuwFtTWCDaqhV9UfP
labor,,勞動,KwRJoSHV4qqec2eY89bd
engineer,,工程師,KxF5Z2xw6ZEEQ1CH6pZg
starter,,前菜,KzKVzqr7joIv7ECUlqvO
charge,,充電,L56EPOxbgXqS2m1kOd5b
overall,,總體,L5n6bQU80BAaFPZ0JppV
adequate,,足夠的,L8meiuTEmbpyFi3eGPRV
locate,,定位,LAdTrs5CI5QXbJkcBmIM
surrounding,,環繞的,LIYwoivYozKdOo5lhdiZ
package tour,,套裝行程,LLf6YvhyJr81SmCUcsko
protect,,保護,LM85RCSwrzePZY87l6fb
essential,,必須的,LMQsSImtRORNqUgJCkYI
anxious,,焦慮的,LOSKUV63WJE4xq21HCcK
compulsory,,義務的,LOb5cl4o05euZCZ1LxWo
consignment,,寄售,LT5yeYwpuH5BpZ2sAfhj
trade,,貿易,LoTzE3VLi1iJg8C3svTs
include,,包含,LqCdQj2xsdwwyy48mOpV
applicant,,申請人,Lxr6NkxTXX0RVWi2pdPi
individually,,個別地,M0FAJ3rXGUb92xqFueic
notify,,通知,MGhAilWefr85MDU4YC7o
slump,,低潮,MTrAWxhZO9zTTcQsHU5Z
studio,,工作室,MViGIjW7hZO0Nas33G92
environmental,,環境的,MZGG6Prn31oLil1ws9Zu
organized,,有組織的,MbQB8jkLGwg0j5B1v6Bl
entitlement,,權利,MbWZjnNVcX8AXwVROfXv
dispose,,處置,Md9pIRjrfgULiMZIx4Ua
claimant,,申請人,MeIjAeKLcXsxhUrFoosV
target,,目標,MefpGFKZU3grnpAN3nDt
improvement,,改善,MiaIKJXRiY0Rki3m5SQj
receptive,,善於接受的,MnV8j3HqYCLG7axuEY14
disagree,,不同意,MsaVYgV6G4Flyf2uaBAQ
indication,,指示,Mt6Lan91iQUdnZHAyCWZ
accounting,,會計,Mvp14kj28rFZRxhGRnJ3
bid,,出價,MwMPYDbd1Fuf4i4Zy85s
rent,,租金,MwfrcfWW6QhHIpXRltIb
theoretical,,理論上的,Mx2hxPTlsrMn2V8tAKJz
belongings,,物品,N0qFoNjdg9JpkhC5hPiP
custom,,習慣,NAIM9rX8sDNOuZMdjo2Z
counter,,櫃檯,NBfDAxTfiFoJG1CB6lpc
probationary,,試用的,NHlgtAiOFynADisxkXbC
complex,,複雜,NHrXSvSgJyLvptylWIto
circumstances,,情況,NN4pV7dUuvwjIet4uOPh
resist,,抵抗,NOk3rgE3ESqsdTTcEYpP
announcement,,公告,NRUGWOTnbwiQNMiOHQZu
celebration,,慶祝,NcxqxeiqcNIJQKOWMzEG
upcoming,,即將到來的,NgDAnguZNQdRwsqd55fY
recent,,最近,Nl5FrR7idDgD6k3epZou
disruption,,破壞,NlQ7shFZUSLkkAjOkM2X
registration,,註冊,NqtSW0H2MG7zuUGo482g
purchase,,購買,Nu7VBFfu2t1tKR0qh7AK
virus,,病毒,O0Aw0K3GDDFyBayYHPuO
distribution,,分配,O0RmuhU76eGMROhqFoV8
clerk,,店員,O1e9FQcXsZx3BH65Dt5E
briefcase,,公事包,O1m9ofpfWLlndtgnIlKt
loan,,貸款,O68W0wHa5kQDCiUuLP4b
medication,,藥物,OAW82IJZytbBLqHH588n
reception,,接待,OMUiCvFwfh3yMJVwXB3C
remuneration,,報酬,OQypUoEN605KjAMfinws
policy,,政策,OToUHe6tofWFWW1FvhUD
avoid,,避免,OY8JjK9GKWuE91U7OjCx
requirement,,需要,OdJ6bmwGQFMAxNz6OYaI
yield,,產量,OghjOeAWfCO45l8qjSye
payment,,付款,OgzUem3DMLqtiSVx30DM
pollute,,汙染,OnTSnY1CwfgiT1nzerIc
issue,,問題,Oq941G7qWKdjb9Uyhh9z
trial,,審判,OqkjtEyNJ1HY5TAchZBz
forward,,前進,Orma7J9HufUxZngTufq1
fluctuate,,波動,Owpzsi7p3R9aEHKt2m6b
furniture,,家具,P558Dh3zzSUoqdOtJy9H
hazardous,,危險的,P9B12LZlujMGAQefKmkn
zone,,區域,PFSdplIvpYRbPclWqdkV
feature,,特徵,PHcoTKwMiBRf9vSnF7Ad
forgetful,,健忘的,PL5DawWdsVcMd1ImqZF4
attend,,出席,PZeYpyNwz1NZNnxdkleW
debt,,債務,PhdFcKwfUDOxpEejtBbZ
flexible,,靈活的,PmPAVYgCSfJb9UtF6mZc
luggage,,行李,PoN4zv3Ix7AbNxt98cQe
binder,,活頁夾,Ptnod0agF0wT4YbuCSyM
jeopardy,,危險,Pvnpe7jkAQlDhhvN5sCu
failure,,失敗,PwmLmtf5F3y67sFWXel6
occur,,發生,PxDPSrcTE10WKYBgaUOP
discrepancy,,差異,Q055RUl4FRJ00CC4P8AR
manufacture,,製造,Q1Was7998mP0PqD6lhX6
mishear,,聽錯,Q7LH6bLOKzHY2G6Zry5Z
bother,,麻煩,QDKsEfeCvgyD2D33e4VX
adjust,,調整,QF1qMY4xSMO98PauA75J
consequence,,後果,QHs5MHQd00pofDuMrWk3
analyze,,分析,QLxswdTgMWil3WoDbUC9
reschedule,,重新安排,QYf1pUjcJm4S16mVNmVX
complain,,抱怨,QZ1NMDJmdK8azp98xrPi
inventory,,庫存,QbSHESXRoSgZ5bUnnctt
weight,,重量,Qe3QWtr0rKI2R9BJKHDg
hide,,隱藏,QhxK04IZbDhZLHZT3K9u
refuse,,拒絕,QiHwiDBIb4uACC2FCfts
claim,,聲稱,QkA950fzs01DizAoO5Ek
downturn,,低迷,Qn8KaJTx6skq4F9F754u
reach,,抵達,QujWitRasOXsNc5NvjDN
track,,軌跡,Qx27xEc0iam4eyRv9xeG
consistently,,一貫地,Qz04CgqYr4x83Dyd2ODx
customer,,客戶,R8BPnrIYyWod3Iu5ScqW
document,,文件,REqXJIgrsXfHdqKBMGLu
fare,,車費,RGsDI0eMXgUymVewmBHz
specialize,,專門,RKNivEygMNo6YzAdjNp5
situation,,情況,RYKunFIVKy5k0ZUnNpXj
qualification,,資格,RYqRYOwybYjoZodgbII3
impatient,,沒耐心,RZMzB0rmiDkEniHVPcnF
differential,,微分,Rb814VXSrkeGxKtjmf29
log out,,登出,RhSGuTbnTjYpcASqXl5v
inflation,,通膨脹,RklWiLWnn9JFJqbBp2QH
dramatic,,戲劇性的,RmTryTNvaDsB9xWEYXtY
agency,,代理機構,RoYyRdUZbtpIxQbW7Ztu
audience,,聽眾,RomsjZulbnU6dR2eqSDY
constant,,常數,RrJ4ZMCDRe37jgI1VRgH
diagnose,,診斷,RuheqBv5EdXzdigN15EN
audit,,審計,S57pV3hgNjLStK9JKqj8
regardless,,無論如何,S76AecyG50hh1wfcoZSN
developer,,開發者,SDkmtbaKMc1GdU9qZIHN
retirement,,退休,SGK0xfDbtABMPpOzdE9V
know,,知道,SHB4lI7rgwTh8qBzvAI8
label,,標籤,SKHOKGvxvuARgi0WJd1U
practical,,實際的,SUxHs3rUnkc9XeArDhUU
experience,,經驗,SXHasemo44pm4uWPCKeJ
complete,,完成,SZCkIS5yLHnYCpZcIE7g
regular,,規則的,SgidmpHFfzv2lKNVm6Dz
presentation,,簡報,SkPjv51Tx6ka6YPACnLC
warn,,警告,SkxLFtUM6pfk3qnNIXa7
onward,,向前,SqJRL38yR6IyapyB1foT
hike,,徒步旅行,St61XDJaLISfDwpfHk6x
departure,,出發 ,StO2o9bM4KkbtnkvuYfq
encourage,,鼓勵,Sw5eLxqja7TyIkFrHnf9
assignment,,作業,SwIYlVOJiKMfrCsc3KKi
downward,,向下,SycZIyGLBvJXmCLkGJaU
judge,,法官,SzRifCI28oqKCNNRw4Cl
investment,,投資,T3ioNsn5MvMF4QWlw58t
headquarters,,總部,TAnjSLGWzFE0bV0ZFdPW
invest,,投資,TBAEbmysbSfGgAoKWlQR
